Package,LibPath,Version,Priority,Built
FRK,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.1,NA,3.5.0
fs,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.6,NA,3.5.0
geoR,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.7-5.2,NA,3.5.0
ggplot2,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.0.0,NA,3.5.0
ggrepel,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.8.0,NA,3.5.0
ggthemes,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,4.0.0,NA,3.5.0
gh,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.1,NA,3.5.0
git2r,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.23.0,NA,3.5.0
glue,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.0,NA,3.5.0
graphics,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.0,base,3.5.0
grDevices,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.0,base,3.5.0
grid,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.0,base,3.5.0
gridExtra,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.3,NA,3.5.0
gstat,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1-6,NA,3.5.0
gtable,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.0,NA,3.5.0
haven,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.2,NA,3.5.0
here,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1,NA,3.5.0
hexbin,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.27.2,NA,3.5.0
highr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.7,NA,3.5.0
Hmisc,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,4.1-1,NA,3.5.0
hms,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4.2,NA,3.5.0
htmlTable,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.12,NA,3.5.0
htmltools,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.6,NA,3.5.0
htmlwidgets,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2,NA,3.5.0
httpuv,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4.4.1,NA,3.5.0
httr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3.1,NA,3.5.0
ini,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.1,NA,3.5.0
INLA,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,18.07.12,NA,3.5.1
intervals,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.15.1,NA,3.5.0
ISOcodes,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2018.06.29,NA,3.5.0
jsonlite,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.5,NA,3.5.0
KernSmooth,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.23-15,recommended,3.5.0
knitr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.20,NA,3.5.0
labeling,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3,NA,3.5.0
laeken,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4.6,NA,3.5.0
later,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.7.3,NA,3.5.0
lattice,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.20-35,recommended,3.5.0
latticeExtra,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.6-28,NA,3.5.0
LatticeKrig,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,7.0,NA,3.5.0
lazyeval,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.1,NA,3.5.0
LearnBayes,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.15.1,NA,3.5.0
lme4,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1-17,NA,3.5.0
lmtest,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.9-36,NA,3.5.0
lubridate,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.7.4,NA,3.5.0
magrittr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.5,NA,3.5.0
mapproj,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.6,NA,3.5.0
maps,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.3.0,NA,3.5.0
maptools,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.9-3,NA,3.5.0
markdown,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.8,NA,3.5.0
MASS,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,7.3-50,recommended,3.5.0
Matrix,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2-14,recommended,3.5.0
MatrixModels,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4-1,NA,3.5.0
memoise,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.0,NA,3.5.0
methods,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.0,base,3.5.0
mgcv,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.8-24,recommended,3.5.0
mime,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5,NA,3.5.0
miniUI,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1.1.1,NA,3.5.0
minqa,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.4,NA,3.5.0
mnormt,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.5-5,NA,3.5.0
modelr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1.2,NA,3.5.0
munsell,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5.0,NA,3.5.0
ndjson,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.6.0,NA,3.5.0
network,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.13.0.1,NA,3.5.0
nlme,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.1-137,recommended,3.5.0
nloptr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.4,NA,3.5.0
NLP,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1-11,NA,3.5.0
nnet,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,7.3-12,recommended,3.5.0
NSDDTemplates,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1,NA,3.5.0
openssl,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.1,NA,3.5.0
openxlsx,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,4.1.0,NA,3.5.0
parallel,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.0,base,3.5.0
pbkrtest,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4-7,NA,3.5.0
pdftools,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.8,NA,3.5.0
pillar,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.3,NA,3.5.0
pkgbuild,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.0,NA,3.5.0
pkgconfig,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.0.1,NA,3.5.0
pkgload,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.0,NA,3.5.0
plogr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.0,NA,3.5.0
plotly,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,4.8.0,NA,3.5.0
plyr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.8.4,NA,3.5.0
praise,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.0,NA,3.5.0
prettyunits,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.2,NA,3.5.0
processx,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.1.0,NA,3.5.0
promises,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.1,NA,3.5.0
pryr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1.4,NA,3.5.0
psych,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.8.4,NA,3.5.0
purrr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.5,NA,3.5.0
quanteda,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3.0,NA,3.5.0
quantreg,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,5.36,NA,3.5.0
R6,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.2.2,NA,3.5.0
RandomFields,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.1.50,NA,3.5.0
RandomFieldsUtils,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.25,NA,3.5.0
RColorBrewer,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1-2,NA,3.5.0
Rcpp,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.12.17,NA,3.5.0
RcppArmadillo,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.8.600.0.0,NA,3.5.0
RcppEigen,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.3.4.0,NA,3.5.0
RcppParallel,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,4.4.0,NA,3.5.0
RCurl,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.95-4.10,NA,3.5.0
readODS,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.6.4,NA,3.5.0
readr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.1,NA,3.5.0
readtext,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.71,NA,3.5.0
readxl,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.0,NA,3.5.0
rematch,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.1,NA,3.5.0
rematch2,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.0.1,NA,3.5.0
reprex,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.0,NA,3.5.0
reshape2,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4.3,NA,3.5.0
reticulate,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.9,NA,3.5.0
rgeos,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3-28,NA,3.5.0
rhandsontable,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.6,NA,3.5.0
rio,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5.10,NA,3.5.0
rjson,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.20,NA,3.5.0
rlang,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.1,NA,3.5.0
rmarkdown,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.10,NA,3.5.0
robustbase,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.93-2,NA,3.5.0
roxygen2,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,6.1.0,NA,3.5.0
rpart,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,4.1-13,recommended,3.5.0
rprojroot,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3-2,NA,3.5.0
RSpectra,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.13-1,NA,3.5.0
RSQLite,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.1.1,NA,3.5.0
RSSampling,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0,NA,3.5.0
rstudioapi,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.7,NA,3.5.0
rticles,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5,NA,3.5.0
Rttf2pt1,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3.7,NA,3.5.0
rvest,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.2,NA,3.5.0
scales,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5.0,NA,3.5.0
selectr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4-1,NA,3.5.0
servr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.10,NA,3.5.0
shiny,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.0,NA,3.5.0
shinydashboard,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.7.0,NA,3.5.0
slam,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1-43,NA,3.5.0
sna,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.4,NA,3.5.0
SnowballC,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5.1,NA,3.5.0
sourcetools,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1.7,NA,3.5.0
sp,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3-1,NA,3.5.0
spacetime,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2-1,NA,3.5.0
spacyr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.9.9,NA,3.5.0
spam,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.2-0,NA,3.5.0
sparseinv,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.1.2,NA,3.5.0
SparseM,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.77,NA,3.5.0
spatial,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,7.3-11,recommended,3.5.0
splancs,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.01-40,NA,3.5.0
splines,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.0,base,3.5.0
stargazer,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,5.2.2,NA,3.5.0
statnet.common,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,4.1.4,NA,3.5.0
stats,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.0,base,3.5.0
stats4,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.0,base,3.5.0
stopwords,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.9.0,NA,3.5.0
streamR,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.4.3,NA,3.5.0
stringi,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.3,NA,3.5.0
stringr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.3.1,NA,3.5.0
styler,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.2,NA,3.5.0
survival,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.42-3,recommended,3.5.0
sys,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.5,NA,3.5.0
tcltk,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.0,base,3.5.0
testthat,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.0.0,NA,3.5.0
tibble,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4.2,NA,3.5.0
tidyr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.8.1,NA,3.5.0
tidyselect,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.4,NA,3.5.0
tidyverse,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.1,NA,3.5.0
tinytex,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5,NA,3.5.0
tm,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.7-4,NA,3.5.0
tokenizers,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2.1,NA,3.5.0
tools,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.0,base,3.5.0
usethis,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4.0,NA,3.5.0
utf8,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.1.4,NA,3.5.0
utils,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,3.5.0,base,3.5.0
vcd,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.4-4,NA,3.5.0
VIM,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,4.7.0,NA,3.5.0
viridis,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.5.1,NA,3.5.0
viridisLite,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3.0,NA,3.5.0
whisker,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.3-2,NA,3.5.0
withr,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.1.2,NA,3.5.0
xfun,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.2,NA,3.5.0
xml2,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.2.0,NA,3.5.0
xtable,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.8-2,NA,3.5.0
xts,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,0.10-2,NA,3.5.0
yaml,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,2.1.19,NA,3.5.0
zip,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.0.0,NA,3.5.0
zoo,/Library/Frameworks/R.framework/Versions/3.5/Resources/library,1.8-2,NA,3.5.0
